Name,DueDate,WhoseResponsibility,Description,WhenItWasAdded,Id,IsCompleted
one,05/05/2022 19:17:00,wuakejnrg,whghebg,04/25/2022 19:17:00,06c5be96-54f0-46d5-85a9-dd2309a86d19,False
one,05/26/2022 19:37:42,wuakejnrg,whghebg,05/16/2022 19:37:42,68b8c29b-1b77-4cc7-9d90-c64a944418f0,False
,01/01/0001 00:00:00,,,01/01/0001 00:00:00,1782dd19-172b-4e1a-ad35-e85a3c7058db,False
,01/01/0001 00:00:00,,,01/01/0001 00:00:00,df5ac91b-6cea-4d8d-8ae7-75d208a8d948,False
,01/01/0001 00:00:00,,,01/01/0001 00:00:00,121878e1-9d6c-4fd3-908c-ce0c657e3301,False
,01/01/0001 00:00:00,,,01/01/0001 00:00:00,97246d94-a8c8-4dfc-828b-0e504f5e2965,False
,01/01/0001 00:00:00,,,01/01/0001 00:00:00,dfed815c-4a85-47ed-bd7b-37129a8ac73e,False
,01/01/0001 00:00:00,,,01/01/0001 00:00:00,7b19de18-8c16-4339-a05c-e898eb7d7c13,False
,01/01/0001 00:00:00,,,01/01/0001 00:00:00,24e592d7-3f28-4d44-b910-3a7167270884,False
,01/01/0001 00:00:00,,,01/01/0001 00:00:00,83f843a1-5dc0-4cd3-8eb9-ee74f5511afe,False
,01/01/0001 00:00:00,,,01/01/0001 00:00:00,1f54a506-cc8d-4715-b46f-86ca5f9cbb5f,False
,01/01/0001 00:00:00,,,01/01/0001 00:00:00,622757c4-64eb-44b4-b314-0c51ae0a6fc5,False
,01/01/0001 00:00:00,,,01/01/0001 00:00:00,806c3fe6-91aa-4782-8bf1-f1a26cbe7a2d,False
,01/01/0001 00:00:00,,,01/01/0001 00:00:00,254de988-5203-4723-b7fc-a26960f7938b,False
ANAME,01/01/0001 00:00:00,,ADESCRIPTION,01/01/0001 00:00:00,57c5572b-2d1b-4117-a1d0-19d91ba1587d,False
ANAME,01/01/0001 00:00:00,,ADESCRIPTION,01/01/0001 00:00:00,2f4c8be8-8027-4aa1-b187-1e6aecd1e987,False
ANAME,01/01/0001 00:00:00,,ADESCRIPTION,01/01/0001 00:00:00,ae5bdec4-1d2d-413b-97e1-f6a868e4d789,False
testName,01/01/0001 00:00:00,,,01/01/0001 00:00:00,c473c48c-be81-41e8-a686-1873d1c25b85,False
testName,01/01/0001 00:00:00,,,01/01/0001 00:00:00,5fcea7ae-9975-4e58-8b96-4757356de68d,False
testName,01/01/0001 00:00:00,,,01/01/0001 00:00:00,1002d1ec-b2d5-46d5-ac45-7e488e558ebc,False
testName,01/01/0001 00:00:00,,,01/01/0001 00:00:00,880f7903-db95-4d8f-9865-0bbb7e05e517,False
,09/05/2022 00:00:00,,,01/01/0001 00:00:00,06d02f44-c654-4db8-b320-9583ffc4ff38,False
,01/01/0001 00:00:00,person,,01/01/0001 00:00:00,844b55cc-4247-428c-9abe-5f66a9945e08,False
,01/01/0001 00:00:00,,testDescription,01/01/0001 00:00:00,02d8746f-2db0-44bb-9896-550a04cd6505,False
,01/01/0001 00:00:00,,,06/29/2022 00:00:00,9f2a660d-fb17-4393-97c6-6147b2268f61,False
,01/01/0001 00:00:00,,,01/01/0001 00:00:00,00000000-0000-0000-0000-000000000000,False
,01/01/0001 00:00:00,,,01/01/0001 00:00:00,cb808ba0-c85a-4c5b-8a06-a68633b0a499,False
